Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,WORST,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,VWC
,,,CoderGZIP,,,,,,,,,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,,0.00,0.00,7.90,49.59,77.13,83.48,87.29,90.97,90.97,,2469848,2469848,2469848,2469848,2469848,2469848,2469848,2469848
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,86.57,86.57,87.63,93.23,96.93,97.78,98.29,98.79,98.79,,18391700,18391700,18391700,18391700,18391700,18391700,18391700,18391700
,,,CoderPCA,4,4,4,8,8,16,16,16,,0.34,0.32,0.25,0.17,0.11,0.09,0.07,0.06,,60.68,57.76,50.62,59.86,71.73,75.33,77.21,80.28,80.28,,6281279,5847449,4606799,3102034,1998694,1653631,1377781,1130281
,,,CoderAPCA,16,16,32,64,128,256,256,256,,0.2,0.18,0.12,0.07,0.03,0.02,0.02,0.01,,33.90,26.83,0.00,0.00,0.00,0.00,0.00,0.00,33.90,,3736382,3375350,2274681,1245168,564961,407946,313986,222924
,,,CoderCA,16,16,32,64,128,256,256,256,,0.32,0.3,0.21,0.13,0.07,0.05,0.04,0.03,,58.55,54.65,41.70,47.88,55.44,55.39,53.54,53.02,58.55,,5958420,5446258,3901701,2389104,1267826,914520,675750,474492
,,,CoderPWLH,32,64,128,256,256,256,256,256,,0.77,0.68,0.43,0.2,0.08,0.06,0.04,0.03,,82.46,80.19,71.23,66.76,60.28,60.20,60.65,63.08,82.46,,14077670,12468078,7906589,3746216,1422408,1024952,797968,603864
,,,CoderPWLHInt,32,32,32,32,64,256,256,256,,0.28,0.28,0.25,0.22,0.13,0.07,0.03,0.02,,51.71,51.71,49.94,68.95,76.68,67.29,50.37,25.64,76.68,,5114166,5114166,4544241,4010766,2422850,1247012,632676,299776
,,,CoderFR,8,16,32,64,128,256,256,256,,0.4,0.37,0.26,0.14,0.07,0.05,0.04,0.03,,66.12,63.31,52.21,52.70,54.82,55.35,54.48,55.71,66.12,,7290060,6730854,4759281,2632290,1250487,913694,689792,503312
,,,CoderSF,,,,,,,,,,2.69,2.36,1.45,0.65,0.22,0.15,0.11,0.08,,95.02,94.32,91.49,89.63,86.33,85.69,84.88,84.09,95.02,,49549751,43467788,26735198,12008429,4133882,2850461,2076977,1401017
,,,CoderGAMPSLimit,32,64,128,256,256,256,256,256,,0.96,0.86,0.55,0.28,0.12,0.09,0.07,0.05,,85.97,84.30,77.67,76.23,74.59,74.31,74.12,73.74,85.97,,17609734,15734326,10185785,5239480,2223328,1588216,1213240,848992
NOAA-SST
,Global
,,SST
,,,CoderGZIP,,,,,,,,,,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,,0.00,45.99,73.79,82.94,91.10,93.94,95.40,96.69,96.69,,5835752,5835752,5835752,5835752,5835752,5835752,5835752,5835752
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,47.94,71.88,86.36,91.12,95.37,96.85,97.61,98.28,98.28,,11209440,11209440,11209440,11209440,11209440,11209440,11209440,11209440
,,,CoderPCA,256,4,4,4,8,8,16,16,,0.61,0.42,0.27,0.22,0.15,0.12,0.1,0.08,,14.42,32.71,49.42,60.11,68.29,73.53,76.95,78.54,78.54,,6819419,4684623,3023775,2495151,1638219,1335371,1164661,900661
,,,CoderAPCA,4,8,32,64,128,256,256,256,,0.66,0.28,0.14,0.09,0.05,0.03,0.02,0.02,,21.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.23,,7408940,3152121,1529501,995360,519491,353456,268400,193280
