Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,229.810,100,447185,0,447185,100,1378600,11889,1390489,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,179.972,78.31,447185,0,447185,100.0,979898,11889,991787,71.33
,,,,,,10,201.935,87.87,447185,0,447185,100.0,1155599,11889,1167488,83.96
,,,,,,25,222.640,96.88,447185,0,447185,100.0,1321238,11889,1333127,95.87
,,,,,,50,227.950,99.19,447185,0,447185,100.0,1363723,11889,1375612,98.93
,,,,,,100,229.488,99.86,447185,0,447185,100.0,1376022,11889,1387911,99.81
,,,,,,200,229.648,99.93,447185,0,447185,100.0,1377305,11889,1389194,99.91
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,179.972,78.31,447185,0,447185,100.0,979898,11889,991787,71.33
,,,,,,10,201.935,87.87,447185,0,447185,100.0,1155599,11889,1167488,83.96
,,,,,,25,222.640,96.88,447185,0,447185,100.0,1321238,11889,1333127,95.87
,,,,,,50,227.950,99.19,447185,0,447185,100.0,1363723,11889,1375612,98.93
,,,,,,100,229.488,99.86,447185,0,447185,100.0,1376022,11889,1387911,99.81
,,,,,,200,229.648,99.93,447185,0,447185,100.0,1377305,11889,1389194,99.91
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,161.382,70.22,447185,0,447185,100.0,831178,11889,843067,60.63
,,,,,,10,176.555,76.83,447185,0,447185,100.0,952559,11889,964448,69.36
,,,,,,25,195.970,85.27,447185,0,447185,100.0,1107878,11889,1119767,80.53
,,,,,,50,205.227,89.3,447185,0,447185,100.0,1181933,11889,1193822,85.86
,,,,,,100,212.286,92.37,447185,0,447185,100.0,1238412,11889,1250301,89.92
,,,,,,200,218.454,95.06,447185,0,447185,100.0,1287755,11889,1299644,93.47
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,121.592,52.91,447185,0,447185,100.0,512858,11889,524747,37.74
,,,,,,10,121.025,52.66,447185,0,447185,100.0,508319,11889,520208,37.41
,,,,,,25,134.290,58.44,447185,0,447185,100.0,614438,11889,626327,45.04
,,,,,,50,151.143,65.77,447185,0,447185,100.0,749263,11889,761152,54.74
,,,,,,100,173.924,75.68,447185,0,447185,100.0,931512,11889,943401,67.85
,,,,,,200,197.559,85.97,447185,0,447185,100.0,1120595,11889,1132484,81.45
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,100.622,43.78,447185,0,447185,100.0,345098,11889,356987,25.67
,,,,,,10,89.716,39.04,447185,0,447185,100.0,257849,11889,269738,19.4
,,,,,,25,95.110,41.39,447185,0,447185,100.0,300998,11889,312887,22.5
,,,,,,50,111.698,48.6,447185,0,447185,100.0,433703,11889,445592,32.05
,,,,,,100,138.655,60.33,447185,0,447185,100.0,649362,11889,661251,47.56
,,,,,,200,168.704,73.41,447185,0,447185,100.0,889755,11889,901644,64.84
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,98.322,42.78,447185,0,447185,100.0,326698,11889,338587,24.35
,,,,,,10,84.136,36.61,447185,0,447185,100.0,213209,11889,225098,16.19
,,,,,,25,83.770,36.45,447185,0,447185,100.0,210278,11889,222167,15.98
,,,,,,50,93.200,40.56,447185,0,447185,100.0,285723,11889,297612,21.4
,,,,,,100,112.791,49.08,447185,0,447185,100.0,442452,11889,454341,32.67
,,,,,,200,137.362,59.77,447185,0,447185,100.0,639015,11889,650904,46.81
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,97.617,42.48,447185,0,447185,100.0,321058,11889,332947,23.94
,,,,,,10,82.347,35.83,447185,0,447185,100.0,198899,11889,210788,15.16
,,,,,,25,80.230,34.91,447185,0,447185,100.0,181958,11889,193847,13.94
,,,,,,50,87.075,37.89,447185,0,447185,100.0,236723,11889,248612,17.88
,,,,,,100,105.243,45.8,447185,0,447185,100.0,382062,11889,393951,28.33
,,,,,,200,127.412,55.44,447185,0,447185,100.0,559415,11889,571304,41.09
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,96.912,42.17,447185,0,447185,100.0,315418,11889,327307,23.54
,,,,,,10,80.570,35.06,447185,0,447185,100.0,184679,11889,196568,14.14
,,,,,,25,75.790,32.98,447185,0,447185,100.0,146438,11889,158327,11.39
,,,,,,50,79.970,34.8,447185,0,447185,100.0,179883,11889,191772,13.79
,,,,,,100,92.125,40.09,447185,0,447185,100.0,277122,11889,289011,20.78
,,,,,,200,108.009,47.0,447185,0,447185,100.0,404195,11889,416084,29.92
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,142.169,61.86,447185,0,447185,100.0,677469,11889,689358,49.58
,,,,,,10,134.233,58.41,447185,0,447185,100.0,613984,11889,625873,45.01
,,,,,,25,133.482,58.08,447185,0,447185,100.0,607980,11889,619869,44.58
,,,,,,50,137.729,59.93,447185,0,447185,100.0,641952,11889,653841,47.02
,,,,,,100,142.608,62.05,447185,0,447185,100.0,680986,11889,692875,49.83
,,,,,,200,147.593,64.22,447185,0,447185,100.0,720864,11889,732753,52.7
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,142.169,61.86,447185,0,447185,100.0,677469,11889,689358,49.58
,,,,,,10,134.233,58.41,447185,0,447185,100.0,613984,11889,625873,45.01
,,,,,,25,133.482,58.08,447185,0,447185,100.0,607980,11889,619869,44.58
,,,,,,50,137.729,59.93,447185,0,447185,100.0,641952,11889,653841,47.02
,,,,,,100,142.608,62.05,447185,0,447185,100.0,680986,11889,692875,49.83
,,,,,,200,147.593,64.22,447185,0,447185,100.0,720864,11889,732753,52.7
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,132.601,57.7,447185,0,447185,100.0,600925,11889,612814,44.07
,,,,,,10,121.804,53.0,447185,0,447185,100.0,514556,11889,526445,37.86
,,,,,,25,118.263,51.46,447185,0,447185,100.0,486225,11889,498114,35.82
,,,,,,50,120.713,52.53,447185,0,447185,100.0,505824,11889,517713,37.23
,,,,,,100,124.129,54.01,447185,0,447185,100.0,533154,11889,545043,39.2
,,,,,,200,127.847,55.63,447185,0,447185,100.0,562896,11889,574785,41.34
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,113.187,49.25,447185,0,447185,100.0,445614,11889,457503,32.9
,,,,,,10,96.580,42.03,447185,0,447185,100.0,312760,11889,324649,23.35
,,,,,,25,87.387,38.03,447185,0,447185,100.0,239220,11889,251109,18.06
,,,,,,50,85.965,37.41,447185,0,447185,100.0,227840,11889,239729,17.24
,,,,,,100,86.247,37.53,447185,0,447185,100.0,230095,11889,241984,17.4
,,,,,,200,87.320,38.0,447185,0,447185,100.0,238680,11889,250569,18.02
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,103.832,45.18,447185,0,447185,100.0,370773,11889,382662,27.52
,,,,,,10,84.057,36.58,447185,0,447185,100.0,212576,11889,224465,16.14
