Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,213.918,55.59,447185,0,447185,100.0,1263350,0,1263350,48.03
,,,,,,10,218.563,56.8,447185,0,447185,100.0,1300510,0,1300510,49.44
,,,,,,25,229.678,59.69,447185,0,447185,100.0,1389430,0,1389430,52.82
,,,,,,50,232.100,60.32,447185,0,447185,100.0,1408810,0,1408810,53.56
,,,,,,100,232.681,60.47,447185,0,447185,100.0,1413460,0,1413460,53.73
,,,,,,200,234.731,61.0,447185,0,447185,100.0,1429860,0,1429860,54.36
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,213.918,55.59,447185,0,447185,100.0,1263350,0,1263350,48.03
,,,,,,10,218.563,56.8,447185,0,447185,100.0,1300510,0,1300510,49.44
,,,,,,25,229.678,59.69,447185,0,447185,100.0,1389430,0,1389430,52.82
,,,,,,50,232.100,60.32,447185,0,447185,100.0,1408810,0,1408810,53.56
,,,,,,100,232.681,60.47,447185,0,447185,100.0,1413460,0,1413460,53.73
,,,,,,200,234.731,61.0,447185,0,447185,100.0,1429860,0,1429860,54.36
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,195.363,50.77,447185,0,447185,100.0,1114910,0,1114910,42.38
,,,,,,10,193.756,50.35,447185,0,447185,100.0,1102060,0,1102060,41.9
,,,,,,25,203.038,52.76,447185,0,447185,100.0,1176310,0,1176310,44.72
,,,,,,50,210.111,54.6,447185,0,447185,100.0,1232900,0,1232900,46.87
,,,,,,100,217.336,56.48,447185,0,447185,100.0,1290700,0,1290700,49.07
,,,,,,200,226.274,58.8,447185,0,447185,100.0,1362200,0,1362200,51.78
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,155.523,40.42,447185,0,447185,100.0,796190,0,796190,30.27
,,,,,,10,138.373,35.96,447185,0,447185,100.0,658990,0,658990,25.05
,,,,,,25,142.378,37.0,447185,0,447185,100.0,691030,0,691030,26.27
,,,,,,50,157.865,41.02,447185,0,447185,100.0,814930,0,814930,30.98
,,,,,,100,179.840,46.73,447185,0,447185,100.0,990730,0,990730,37.66
,,,,,,200,205.628,53.44,447185,0,447185,100.0,1197030,0,1197030,45.51
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,134.693,35.0,447185,0,447185,100.0,629550,0,629550,23.93
,,,,,,10,107.401,27.91,447185,0,447185,100.0,411220,0,411220,15.63
,,,,,,25,104.248,27.09,447185,0,447185,100.0,385990,0,385990,14.67
,,,,,,50,119.890,31.16,447185,0,447185,100.0,511130,0,511130,19.43
,,,,,,100,144.943,37.67,447185,0,447185,100.0,711550,0,711550,27.05
,,,,,,200,178.016,46.26,447185,0,447185,100.0,976140,0,976140,37.11
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,132.378,34.4,447185,0,447185,100.0,611030,0,611030,23.23
,,,,,,10,102.204,26.56,447185,0,447185,100.0,369640,0,369640,14.05
,,,,,,25,93.598,24.32,447185,0,447185,100.0,300790,0,300790,11.43
,,,,,,50,102.618,26.67,447185,0,447185,100.0,372950,0,372950,14.18
,,,,,,100,121.925,31.68,447185,0,447185,100.0,527410,0,527410,20.05
,,,,,,200,149.161,38.76,447185,0,447185,100.0,745300,0,745300,28.33
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,131.763,34.24,447185,0,447185,100.0,606110,0,606110,23.04
,,,,,,10,100.539,26.13,447185,0,447185,100.0,356320,0,356320,13.55
,,,,,,25,90.838,23.61,447185,0,447185,100.0,278710,0,278710,10.6
,,,,,,50,96.983,25.2,447185,0,447185,100.0,327870,0,327870,12.46
,,,,,,100,115.614,30.04,447185,0,447185,100.0,476920,0,476920,18.13
,,,,,,200,141.450,36.76,447185,0,447185,100.0,683610,0,683610,25.99
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,131.048,34.06,447185,0,447185,100.0,600390,0,600390,22.82
,,,,,,10,98.896,25.7,447185,0,447185,100.0,343180,0,343180,13.05
,,,,,,25,86.638,22.51,447185,0,447185,100.0,245110,0,245110,9.32
,,,,,,50,90.245,23.45,447185,0,447185,100.0,273970,0,273970,10.42
,,,,,,100,104.724,27.21,447185,0,447185,100.0,389800,0,389800,14.82
,,,,,,200,125.530,32.62,447185,0,447185,100.0,556250,0,556250,21.15
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,181.678,47.21,447185,0,447185,100.0,1005433,0,1005433,38.22
